出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
1140817,11407,6978,愛盛科技,電子工業,10969,8654,6490,26.75063554425699,69.01386748844376,67728,46867,44.51106322145646,-
1140817,11407,6985,台新人壽,金融保險業,3786261,812632,2999170,365.9256588468089,26.24362740358166,19224406,17629918,9.044216768336643,-
1140817,11407,6991,精準健康,化學生技醫療,24020,21796,26390,10.20370710222059,-8.980674497915878,142536,175800,-18.92150170648464,-
1140817,11407,6992,萬勝發科技,電子工業,13281,18243,16169,-27.199473770761387,-17.861339600470036,127434,121005,5.313003594892773,-
1140817,11407,6993,凱納,其他,37704,5552,18502,579.106628242075,103.7833747702951,308016,171280,79.83185427370388,-
1140817,11407,6998,友上科,電機機械,7709,5807,7075,32.75357327363527,8.96113074204947,42627,49091,-13.167383023364772,-
1140817,11407,7570,紫金堂,其他,3393,1326,3854,155.88235294117646,-11.961598339387649,14702,32743,-55.09879974345662,-
1140817,11407,7710,東擎科技,電子工業,176214,137835,113126,27.844161497442595,55.767904814101094,1075869,912449,17.91004209550342,-
1140817,11407,7739,藍新科技,其他,116422,117272,130275,-0.7248106965004434,-10.633659566302054,827974,849899,-2.5797182959386937,-
1140817,11407,7745,紅陽,其他,15053,13690,17154,9.956172388604822,-12.247872216392679,104873,131167,-20.0462006449793,-
1140817,11407,7746,智安,電子工業,24242,29739,58749,-18.48414539829853,-58.73631891606666,213663,328305,-34.91935852332435,-
1140817,11407,7771,綠基,電子工業,44112,56987,38458,-22.592872058539665,14.701752561235633,393184,281645,39.60269133128584,-
1140817,11407,7775,禾馨,化學生技醫療,102209,87838,71116,16.36080056467588,43.721525395129085,589640,488174,20.784802140220496,-
1140817,11407,7784,安邦生技,其他,0,0,0,,,0,0,,-
