Month,Code,Name,HighestPrice,LowestPrice,WeightedAvgPriceAB,Transaction,TradeValueA,TradeVolumeB,TurnoverRatio
11408,06481P,台積電中信49售03,0.02,0.02,0.02,1,1000,50000,0.50
11408,064908,台積電凱基49購06,0.10,0.10,0.10,10,10000,100000,20.00
11408,064909,台積電凱基49購07,0.52,0.38,0.51,2,156380,301000,60.20
11408,06550P,台積電元富51售03,0.76,0.52,0.58,14,372520,638000,35.44
11408,065557,台積電元富48購02,1.99,1.99,1.99,1,9950,5000,
11408,06567P,台積電凱基49售09,0.38,0.07,0.25,5,33310,133000,26.60
11408,065785,台積電富邦4C購02,0.80,0.76,0.78,6,144220,183000,0.91
11408,065788,台積電富邦51購01,0.89,0.70,0.80,42,1247460,1547000,7.73
11408,06594P,台積電統一49售15,0.35,0.16,0.31,5,80780,256000,10.24
11408,06602P,台積電國票48售05,0.06,0.03,0.04,5,40530,922000,
11408,066082,台積電富邦49購04,0.48,0.32,0.41,27,365040,870000,4.35
