date,stock_id,buy,name,sell
2016-07-26,2330,28454000,Foreign_Investor,18930751
2016-07-26,2330,342000,Investment_Trust,408000
2016-07-26,2330,0,Dealer_self,0
2016-07-26,2330,197000,Dealer_Hedging,216000
2016-07-27,2330,30901000,Foreign_Investor,13082000
2016-07-27,2330,4000,Investment_Trust,83000
2016-07-27,2330,25000,Dealer_self,206000
2016-07-27,2330,297000,Dealer_Hedging,567000
2016-07-28,2330,28000740,Foreign_Investor,17140500
2016-07-28,2330,295039,Investment_Trust,55000
2016-07-28,2330,4000,Dealer_self,869000
2016-07-28,2330,190000,Dealer_Hedging,491000
2016-07-29,2330,19460572,Foreign_Investor,22171100
