Year,Code,Name,TradeVolume,TradeValue,Transaction,HighestPrice,HDate,LowestPrice,LDate,AvgClosingPrice
113,07747T,台積電台新3C售01,4615000,2740470,310,1.92,4月19日,0.01,11月26日,0.72
113,07748U,台積電中信36售02,18178000,4528640,853,0.72,1月05日,0.01,5月07日,0.24
113,077491,台積電元富4A購23,33838000,19064490,590,1.84,1月29日,0.02,7月09日,0.95
113,077492,台積電元富54購01,5139000,2279020,122,2.10,1月29日,0.01,9月19日,0.93
113,077493,台積電元富64購01,4642000,14083680,310,12.40,7月11日,1.84,2月15日,4.12
113,07749T,台積電凱基3A售22,8698000,8166030,351,2.70,4月22日,0.14,8月22日,1.08
113,077500,台積電國票42購01,2613000,27203900,380,34.50,10月22日,2.87,2月02日,14.10
113,077560,台積電元大4A購16,15336000,21079290,627,2.31,7月09日,0.57,5月07日,1.49
113,077561,台積電元大4A購17,26904000,28640040,931,2.20,2月15日,0.01,10月08日,1.06
113,077562,台積電元大4A購18,50233000,17946570,857,1.01,1月29日,0.02,11月12日,0.39
113,077563,台積電元大4A購19,42612000,47378800,2130,1.98,6月19日,0.01,9月26日,1.07
113,077564,台積電元大4C購12,34744000,63085690,1275,5.45,7月11日,0.61,2月01日,2.43
113,077565,台積電元大51購23,42290000,81023340,1138,4.55,12月17日,0.78,1月26日,2.54
113,077566,台積電統一45購01,90557000,112187090,4538,3.65,10月21日,0.66,2月01日,2.04
113,077589,台積電元富42購02,1662000,13433100,46,13.20,7月01日,2.37,1月31日,6.59
113,077639,台積電群益4A購37,2621000,3324380,169,2.40,1月26日,0.14,7月10日,1.07
113,077640,台積電群益4C購06,6440000,2198060,150,1.06,1月29日,0.10,4月26日,0.39
113,077665,台積電群益42購01,1131000,8744100,206,20.10,7月11日,2.52,2月01日,9.51
113,077683,台積電凱基4A購40,11265000,3527190,141,1.35,1月25日,0.05,8月14日,0.42
113,077684,台積電凱基4A購41,3646000,1428470,72,1.42,1月30日,0.04,8月05日,0.48
113,077752,台積電永豐55購01,1004000,2667460,53,11.90,10月08日,1.03,1月31日,4.14
113,077753,台積電永豐56購01,7978000,5095490,171,1.20,3月20日,0.08,9月05日,0.55
113,077754,台積電永豐59購01,7700000,5738640,239,1.61,3月21日,0.03,9月26日,0.72
113,077864,台積電元大4A購20,8541000,7296800,400,2.12,2月20日,0.12,4月22日,0.81
113,077865,台積電元大4A購21,7730000,10891140,291,3.08,3月07日,0.08,6月28日,1.34
113,077866,台積電元大4A購22,6449000,20686930,291,6.30,3月04日,1.02,6月25日,2.92
113,077867,台積電元大4A購23,13243000,22606500,678,6.20,2月15日,0.04,7月18日,1.98
113,077868,台積電元大4A購24,3809000,3668100,332,2.04,2月05日,0.27,6月04日,0.96
113,077869,台積電元大4A購25,5509000,10081330,206,4.21,5月31日,1.28,2月20日,1.99
113,077870,台積電元大51購24,4765000,5806280,217,2.73,4月15日,0.58,7月09日,1.39
113,07791T,台積電富邦3A售07,8796000,2316730,223,0.87,4月19日,0.04,8月20日,0.30
113,07792T,台積電富邦3A售08,1485000,698430,42,1.06,4月22日,0.13,9月03日,0.56
113,077936,台積電永豐4B購11,14071000,9426880,316,1.82,7月08日,0.14,6月11日,0.62
113,077942,台積電統一43購01,42623000,91880030,1466,3.49,7月11日,0.76,2月01日,2.13
113,078007,台積電凱基4A購43,7097000,4147960,202,2.17,6月20日,0.24,6月05日,0.83
113,078008,台積電凱基4C購21,6861000,9648930,432,2.47,5月29日,0.42,7月17日,1.39
113,078009,台積電凱基64購04,8600000,17794430,467,4.90,8月16日,0.85,1月30日,2.53
113,078076,台積電元大4A購28,330000,1520860,64,9.35,5月03日,2.91,1月29日,4.76
113,078077,台積電元大4A購29,1282000,1910870,133,2.66,2月01日,0.31,6月11日,1.41
113,078078,台積電元大4A購30,2934000,7168460,236,4.73,7月12日,1.30,5月10日,2.38
113,078079,台積電元大4A購31,5623000,23276220,426,8.40,4月09日,1.10,3月14日,3.79
113,078080,台積電元大4A購32,5751000,7766470,277,2.72,3月01日,0.07,7月23日,1.45
113,078081,台積電元大4A購33,1429000,2147880,70,2.33,3月04日,0.47,4月10日,1.20
113,078082,台積電元大4A購34,148000,446200,36,3.61,4月01日,2.40,3月07日,3.12
113,078083,台積電元大51購25,9925000,5947850,287,6.05,2月26日,0.18,5月31日,1.59
113,078129,台積電富邦4A購08,1956000,9794950,187,8.80,4月09日,1.51,1月29日,6.01
113,078130,台積電富邦4B購12,59843000,47230460,1073,4.49,5月14日,0.01,8月26日,1.57
113,078159,台積電國泰4B購04,4483000,4391770,281,4.20,2月26日,0.04,12月10日,1.00
113,078160,台積電國泰4B購05,4244000,8336680,273,3.30,4月26日,1.46,4月19日,1.89
113,078165,台積電台新4A購04,492000,249260,15,0.80,5月28日,0.43,7月15日,0.56
113,078166,台積電台新4A購05,4010000,6406960,248,3.30,2月22日,0.26,6月06日,1.28
113,078177,台積電元富4A購26,714000,1030570,26,3.24,2月23日,0.90,1月31日,1.53
113,078178,台積電元富4A購27,901000,2593570,46,4.88,3月14日,1.49,1月29日,3.08
113,078179,台積電元富54購02,1506000,3612940,91,9.45,4月09日,1.18,1月30日,3.47
113,078180,台積電元富54購03,934000,1137620,120,3.31,3月07日,0.24,6月19日,1.37
113,078184,台積電凱基43購05,1699000,21271340,306,28.70,10月18日,3.08,2月01日,14.83
113,078196,台積電元大4A購35,852000,3363540,67,8.30,3月08日,1.20,8月05日,4.64
113,078197,台積電元大4A購36,5316000,8092310,251,3.28,5月20日,0.69,8月05日,1.66
113,078198,台積電元大51購26,2051000,2980560,125,5.50,5月28日,0.40,4月16日,2.26
113,07819T,台積電國票3A售08,7022000,5188630,312,2.84,4月22日,0.03,10月01日,1.01
113,07820T,台積電國票3B售02,7849000,6732160,232,2.57,4月25日,0.15,10月04日,1.00
113,078218,台積電凱基4A購45,2020000,3610830,54,7.80,10月07日,0.31,9月18日,2.11
113,078219,台積電凱基51購10,22000,36020,4,1.79,3月06日,0.78,6月26日,1.26
113,078227,台積電永豐4A購13,2312000,2192380,87,1.33,3月04日,0.44,5月24日,0.81
113,07825T,台積電元大3A售26,5489000,3893030,378,2.20,4月22日,0.05,9月23日,0.83
113,078264,台積電國票4A購15,2120000,616750,26,0.72,1月31日,0.07,6月25日,0.34
113,078265,台積電國票4A購16,756000,301660,35,1.36,2月19日,0.08,6月07日,0.59
113,078266,台積電國票4B購06,864000,576660,11,0.89,2月20日,0.51,3月04日,0.70
113,078267,台積電國票4B購07,5377000,15061240,333,8.30,7月15日,0.89,1月31日,2.89
113,07826T,台積電元大3A售27,27334000,18748470,1519,2.45,4月22日,0.01,9月27日,0.84
113,078292,台積電群益4A購38,67946000,55619300,769,1.48,3月04日,0.07,7月19日,0.72
113,078293,台積電群益4A購39,17237000,49007320,650,12.20,7月11日,1.18,2月19日,4.46
113,07831U,台積電凱基32售07,171000,21320,4,0.13,1月05日,0.12,1月05日,0.13
113,078332,台積電元大4A購37,2726000,16956640,300,11.30,6月06日,1.13,2月01日,6.22
113,078333,台積電元大4A購38,6052000,5816220,128,1.25,3月22日,0.43,5月15日,0.89
113,078334,台積電元大51購27,23888000,28705030,512,2.05,5月13日,0.80,4月19日,1.25
113,078348,台積電中信4A購04,380000,437950,12,1.73,4月29日,0.69,2月05日,1.20
