stock_id,ymonth,max,min,trading_volume,trading_money,trading_turnover,date,close,open,spread
06352P,2015M01,0.0,0.0,0,0,0,2016-01-01,0.0,0.0,0.0
06356P,2015M01,0.0,0.0,0,0,0,2016-01-01,0.0,0.0,0.0
06363P,2015M01,3.12,0.0,13112000,33559400,534,2016-01-01,1.93,1.64,0.2
06364P,2015M01,2.71,0.0,1016000,2235680,86,2016-01-01,0.0,1.83,0.0
06365P,2015M01,0.41,0.0,3336000,593860,148,2016-01-01,0.0,0.24,-0.28
06369P,2015M01,1.99,0.0,1824000,2741340,112,2016-01-01,0.0,0.0,0.0
06375P,2015M01,1.92,0.0,586000,933100,52,2016-01-01,0.0,0.0,0.0
06376P,2015M01,0.0,0.0,0,0,0,2016-01-01,0.0,0.0,0.0
06377P,2015M01,0.0,0.0,0,0,0,2016-01-01,0.0,0.0,0.0
06382P,2015M01,0.6,0.0,8048000,2603460,510,2016-01-01,0.4,0.27,0.07
06384P,2015M01,3.33,0.0,524000,1327800,42,2016-01-01,0.0,0.0,0.0
06386P,2015M01,0.46,0.0,47384000,15460620,1938,2016-01-01,0.34,0.26,0.05
06388P,2015M01,0.23,0.07,38534000,6223680,928,2016-01-01,0.07,0.15,-0.1
06391P,2015M01,2.9,1.78,4330000,9820120,302,2016-01-01,2.38,1.78,0.56
06394P,2015M01,0.0,0.0,0,0,0,2016-01-01,0.0,0.0,0.0
06395P,2015M01,0.6,0.0,114000,58060,26,2016-01-01,0.0,0.0,0.0
06396P,2015M01,3.01,0.0,10000,30100,2,2016-01-01,0.0,0.0,0.0
06397P,2015M01,2.7,0.0,390000,1010500,16,2016-01-01,0.0,0.0,0.0
06401P,2015M01,0.0,0.0,0,0,0,2016-01-01,0.0,0.0,0.0
06402P,2015M01,0.0,0.0,0,0,0,2016-01-01,0.0,0.0,0.0
06403P,2015M01,0.0,0.0,0,0,0,2016-01-01,0.0,0.0,0.0
06404P,2015M01,12.0,0.0,326000,2732800,26,2016-01-01,0.0,5.95,0.0
06405P,2015M01,9.6,0.0,3864000,23271540,246,2016-01-01,5.25,3.87,1.46
06406P,2015M01,0.35,0.31,180000,58000,8,2016-01-01,0.32,0.31,0.06
06407P,2015M01,0.0,0.0,0,0,0,2016-01-01,0.0,0.0,0.0
